0.005 0  0 0  0
47.2691 0  0 0  0
110.652 0  0 0  0
179.394 0  0 -1.65098  1.29096
247.912 0  0 -2.25579  1.75666
316.899 0  0 -2.38809  1.85703
386.044 0  0 -2.43049  1.92108
455.025 0  0 -2.46965  1.97374
524.326 0  0 -2.50964  2.01749
593.599 0  0 -2.54417  2.05258
662.894 0  0 -2.56269  2.07432
732.199 0  0 -2.56778  2.08563
801.527 0  0 -2.56737  2.09204
870.892 -7.95303e-11  -8.74759e-13 -2.566  2.09666
939.567 -0.811132  0.289053 -2.56479  2.10045
1009.02 -1.24441  0.457501 -2.5638  2.10369
1078.52 -1.59117  0.597266 -2.5624  2.10611
1148.08 -1.8144  0.693989 -2.55956  2.10732
1217.69 -1.98506  0.761883 -2.55624  2.10796
1287.35 -2.11123  0.810601 -2.55342  2.10862
1357.06 -2.20282  0.844947 -2.55125  2.10941
1426.8 -2.26711  0.868138 -2.54957  2.11026
1491.53 -2.31292  0.882891 -2.54827  2.111
1553.65 -2.35252  0.894497 -2.54713  2.11162
1614.91 -2.38867  0.905028 -2.54605  2.11213
1675.67 -2.42156  0.914934 -2.54507  2.11257
1736.08 -2.45123  0.924103 -2.54417  2.11295
1796.25 -2.47795  0.932512 -2.54333  2.11328
1855.17 -2.50137  0.939989 -2.54254  2.11355
1914.97 -2.52259  0.946841 -2.54177  2.11377
1974.62 -2.54144  0.952967 -2.54104  2.11396
2034.16 -2.55815  0.958431 -2.54035  2.11412
2093.59 -2.57299  0.963305 -2.53973  2.11426
2152.94 -2.58618  0.967654 -2.53918  2.11442
2212.22 -2.59789  0.971531 -2.53871  2.11458
2271.43 -2.60834  0.974998 -2.53829  2.11474
2330.59 -2.61763  0.978088 -2.5379  2.11488
2389.7 -2.626  0.980901 -2.53755  2.11501
2448.77 -2.63347  0.983411 -2.53723  2.11513
2507.8 -2.64013  0.985653 -2.53694  2.11524
2566.8 -2.64606  0.987651 -2.53668  2.11533
2625.77 -2.65137  0.989438 -2.53645  2.11543
2684.72 -2.65611  0.991038 -2.53625  2.11551
2743.01 -2.66031  0.992456 -2.53606  2.11559
2801.92 -2.66411  0.993741 -2.5359  2.11566
2860.8 -2.66751  0.994893 -2.53575  2.11573
2919.67 -2.67056  0.995925 -2.53562  2.11579
2978.53 -2.67331  0.99685 -2.5355  2.11584
3037.37 -2.67577  0.997679 -2.5354  2.11589
3096.21 -2.67797  0.998422 -2.53531  2.11594
3155.03 -2.67994  0.999088 -2.53522  2.11598
3213.85 -2.68171  0.999685 -2.53515  2.11601
3272.65 -2.68332  1.00023 -2.5351  2.11607
3331.44 -2.68487  1.00075 -2.53504  2.11612
3390.26 -2.68631  1.00123 -2.53502  2.11619
3449.09 -2.68776  1.00176 -2.53499  2.11625
3507.91 -2.68923  1.00229 -2.53497  2.1163
3566.73 -2.69041  1.00269 -2.53494  2.11635
3624.7 -2.69141  1.00304 -2.53491  2.11639
3683.51 -2.69235  1.00336 -2.53489  2.11643
3742.32 -2.69322  1.00366 -2.53487  2.11647
3801.13 -2.69404  1.00394 -2.53485  2.1165
3859.93 -2.6948  1.0042 -2.53485  2.11654
3918.73 -2.69552  1.00445 -2.53485  2.11659
3977.53 -2.69619  1.00469 -2.53485  2.11663
4036.32 -2.69682  1.00491 -2.53486  2.11666
4095.11 -2.69742  1.00513 -2.53486  2.1167
4153.9 -2.69799  1.00533 -2.53487  2.11674
4212.68 -2.69853  1.00553 -2.53487  2.11677
4271.47 -2.69904  1.00571 -2.53487  2.1168
4330.25 -2.69953  1.00589 -2.53487  2.11683
4389.03 -2.70001  1.00606 -2.53487  2.11685
4447.81 -2.70048  1.00623 -2.53486  2.11686
4505.88 -2.70094  1.00639 -2.53484  2.11688
4564.65 -2.70136  1.00655 -2.53481  2.11688
4623.43 -2.70175  1.00669 -2.53479  2.11688
4682.2 -2.70211  1.00681 -2.53476  2.11689
4740.97 -2.70244  1.00693 -2.53473  2.11689
4799.74 -2.70276  1.00704 -2.53471  2.11688
4858.51 -2.70306  1.00715 -2.53472  2.11682
4917.28 -2.70334  1.00724 -2.53481  2.11666
4976.04 -2.7036  1.00734 -2.53492  2.11651
5034.81 -2.70385  1.00743 -2.53503  2.11644
5093.57 -2.7041  1.00751 -2.53511  2.11641
5152.33 -2.70437  1.00761 -2.53516  2.11642
5211.1 -2.70466  1.00771 -2.53519  2.11643
5269.86 -2.7066  1.00843 -2.53519  2.11644
5328.62 -2.71  1.00964 -2.53518  2.11645
5387.38 -2.71213  1.01038 -2.53516  2.11645
5445.24 -2.71344  1.01082 -2.53513  2.11645
5503.99 -2.71429  1.01108 -2.53511  2.11645
5562.74 -2.71497  1.0113 -2.53508  2.11644
5621.48 -2.71554  1.01148 -2.53502  2.11643
5680.22 -2.71599  1.01163 -2.53497  2.11641
5738.96 -2.71634  1.01174 -2.53492  2.1164
5797.69 -2.71666  1.01185 -2.53488  2.11638
5856.42 -2.71704  1.01198 -2.53482  2.11637
5915.15 -2.71754  1.01215 -2.53476  2.11635
5973.87 -2.71816  1.01237 -2.53468  2.11632
6032.59 -2.71894  1.01265 -2.53459  2.11629
6091.3 -2.71987  1.01299 -2.5345  2.11625
6150.01 -2.7209  1.01335 -2.5344  2.11622
6208.71 -2.72197  1.01373 -2.5343  2.11618
6267.41 -2.72308  1.01413 -2.53412  2.11609
6325.24 -2.72421  1.01453 -2.53388  2.11597
6383.93 -2.7254  1.01495 -2.53373  2.11591
6442.61 -2.72661  1.01538 -2.53364  2.11589
6501.29 -2.72775  1.01579 -2.53358  2.11589
6559.97 -2.72887  1.01618 -2.53352  2.11589
6618.64 -2.72994  1.01656 -2.53346  2.11589
6677.31 -2.73093  1.01691 -2.53338  2.11588
6735.98 -2.73185  1.01723 -2.53331  2.11587
6794.64 -2.7327  1.01752 -2.53325  2.11586
6853.3 -2.7335  1.0178 -2.53318  2.11585
6911.96 -2.73424  1.01805 -2.53313  2.11584
6970.62 -2.73495  1.0183 -2.53307  2.11584
7029.27 -2.73563  1.01853 -2.53303  2.11584
7087.92 -2.73626  1.01876 -2.53298  2.11583
7146.57 -2.73687  1.01897 -2.53294  2.11583
